ID,Visit,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
1005,2nd,PRACT1,117,168.74,160.00,688,208,168,160
1005,2nd,PRACT2,109,182.94,183.00,224,200,173,175
1005,2nd,TRIAL1,114,174.21,168.00,415,200,30,207
1005,2nd,TRIAL2,104,191.34,191.00,375,200,93,208
