ID,Visit,Block,PC,Total RT,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
1004,1st,TRIAL1,8,152212,2.24,4.25,1.41,0.00,0.00,4.24,2.83,1.41,2.83,7.07,2.83,4.24,0.00,0.00,2,3,1,8,4,3,6,8,3,7,3,3
1004,1st,TRIAL2,10,165730,2.95,3.25,5.66,1.41,1.41,5.66,1.41,5.66,1.41,0.00,4.24,1.41,1.41,5.66,7,1,2,5,2,5,1,2,5,3,2,4
