ID,Visit,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
1004,1st,PRACT1,99,193.11,184.00,360,200,360,200
1004,1st,PRACT2,105,189.53,184.00,585,200,585,200
1004,1st,TRIAL1,87,227.09,216.00,383,200,325,200
1004,1st,TRIAL2,114,173.99,168.00,816,207,816,175
